q,e,qdot
0.1,0.0,0.939
0.1,0.2,0.882
0.1,0.4,0.697
0.1,0.6,0.56
0.1,0.8,0.583
0.2,0.0,0.909
0.2,0.2,1.02
0.2,0.4,0.744
0.2,0.6,0.646
0.2,0.8,0.626
0.3,0.0,0.883
0.3,0.2,1.01
0.3,0.4,0.84
0.3,0.6,0.705
0.3,0.8,0.731
0.4,0.0,0.802
0.4,0.2,0.958
0.4,0.4,0.932
0.4,0.6,0.944
0.4,0.8,0.548
0.5,0.0,0.757
0.5,0.2,0.99
0.5,0.4,1.11
0.5,0.6,0.98
0.5,0.8,1.28
0.6,0.0,0.705
0.6,0.2,0.992
0.6,0.4,1.1
0.6,0.6,0.711
0.6,0.8,1.33
0.7,0.0,0.601
0.7,0.2,0.97
0.7,0.4,0.727
0.7,0.6,0.47
0.7,0.8,1.4
0.8,0.0,0.45
0.8,0.2,0.877
0.8,0.4,0.573
0.8,0.6,0.279
0.8,0.8,1.48
0.9,0.0,0.236
0.9,0.2,0.779
0.9,0.4,0.324
0.9,0.6,0.173
0.9,0.8,1.57
1.0,0.0,0.0
1.0,0.2,0.0
1.0,0.4,0.0
1.0,0.6,0.0
1.0,0.8,0.0
